date,code,open,high,low,close,preclose,volume,amount,pctChg
2011-12-27,sh.000037,3025.7220,3026.9350,2952.1260,2956.4860,3022.4360,99891300,1179120000.0000,-2.182013
2011-12-28,sh.000037,2943.4210,2943.4210,2865.1600,2912.0590,2956.4860,118028700,1324060000.0000,-1.502696
2011-12-29,sh.000037,2910.1690,2933.5430,2898.8260,2920.9890,2912.0590,98059400,1096710000.0000,0.306654
2011-12-30,sh.000037,2926.5920,2966.3290,2926.5920,2963.8200,2920.9890,110143000,1316290000.0000,1.466320
2012-01-04,sh.000037,2985.1830,2987.9560,2891.0060,2891.4620,2963.8200,89101900,1004360000.0000,-2.441381
2012-01-05,sh.000037,2871.1930,2871.1930,2759.5740,2766.9550,2891.4620,131941400,1769640000.0000,-4.306017
2012-01-06,sh.000037,2761.4910,2769.1530,2686.8100,2744.7930,2766.9550,129046200,1541440000.0000,-0.800957
2012-01-09,sh.000037,2747.2970,2836.9320,2714.7680,2833.2190,2744.7930,148408200,1773690000.0000,3.221592
2012-01-10,sh.000037,2832.1230,2938.3650,2819.6710,2929.5940,2833.2190,192935400,2209730000.0000,3.401608
2012-01-11,sh.000037,2932.5950,2942.4600,2900.2050,2920.2880,2929.5940,156731000,1772990000.0000,-0.317652
2012-01-12,sh.000037,2910.9820,2953.5470,2902.1840,2913.3710,2920.2880,139661400,1539430000.0000,-0.236860
2012-01-13,sh.000037,2912.2040,2916.7190,2796.1320,2803.6580,2913.3710,140548100,1621550000.0000,-3.765848
2012-01-16,sh.000037,2783.1750,2783.1750,2694.0890,2695.8270,2803.6580,102210400,1246790000.0000,-3.846085
2012-01-17,sh.000037,2700.3480,2811.6050,2642.6100,2806.6420,2695.8270,163855100,2057590000.0000,4.110620
2012-01-18,sh.000037,2793.2240,2800.5450,2668.4740,2681.3950,2806.6420,159263400,2095040000.0000,-4.462524
2012-01-19,sh.000037,2666.3050,2710.3280,2640.6250,2705.6470,2681.3950,131310600,1685970000.0000,0.904453
